name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
n_body_optimized,julia,1,50000000,1254,45.159,237612,0,8% 2% 59% 2% 4% 2% 32% 2%,44.697
n_body_optimized,julia,1,50000000,1254,45.301,237256,0,49% 5% 13% 20% 5% 6% 13% 18%,44.865
n_body_optimized,julia,1,50000000,1254,45.411,237092,0,5% 5% 50% 15% 5% 5% 26% 21%,44.973
n_body_optimized,julia,1,50000000,1254,45.324,237904,0,4% 4% 73% 4% 4% 5% 30% 4%,44.888
n_body_optimized,julia,1,50000000,1254,45.268,238084,0,84% 4% 5% 4% 18% 4% 4% 4%,44.841
n_body_optimized,julia,1,50000000,1254,45.328,237592,0,14% 28% 2% 34% 7% 10% 3% 21%,44.919
n_body_optimized,julia,1,50000000,1254,45.273,237908,0,3% 3% 3% 46% 3% 3% 3% 56%,44.892
n_body_optimized,julia,1,50000000,1254,45.248,237008,0,3% 50% 12% 8% 3% 27% 10% 6%,44.818
n_body_optimized,julia,1,50000000,1254,45.135,236916,0,6% 1% 41% 8% 1% 1% 25% 26%,44.689
n_body_optimized,julia,1,50000000,1254,45.155,236928,0,1% 23% 1% 47% 1% 17% 1% 17%,44.760
n_body_problem,julia,1,50000000,1206,793.595,245524,0,17% 26% 25% 15% 11% 15% 18% 19%,793.918
n_body_problem,python,1,50000000,1341,335.056,8692,0,2% 38% 19% 11% 2% 12% 19% 9%,335.236
n_body_problem,python,1,50000000,1341,359.954,8660,0,24% 13% 21% 19% 6% 7% 14% 23%,360.225
n_body_problem,python,1,50000000,1341,344.895,8668,0,14% 5% 7% 33% 5% 4% 5% 52%,345.291
n_body_problem,python,1,50000000,1341,334.681,8660,0,6% 30% 10% 15% 1% 6% 7% 32%,334.892
n_body_problem,python,1,50000000,1341,346.688,8720,0,13% 25% 19% 24% 10% 15% 22% 25%,347.073
n_body_problem,python,1,50000000,1341,343.320,8720,0,7% 29% 19% 20% 6% 14% 13% 32%,343.643
n_body_problem,python,1,50000000,1341,339.406,8688,0,7% 16% 19% 28% 5% 8% 16% 32%,339.800
n_body_problem,python,1,50000000,1341,361.976,8748,0,6% 17% 40% 15% 5% 11% 24% 18%,362.218
n_body_problem,python,1,50000000,1341,355.040,8632,0,14% 30% 39% 11% 9% 18% 17% 9%,355.324
n_body_problem,python,1,50000000,1341,345.798,8668,0,15% 20% 27% 26% 11% 15% 20% 27%,346.165
regex_redux_no_mp,python,1,10000,612,11.108,347528,0,47% 37% 12% 13% 20% 34% 12% 16%,11.124
regex_redux_no_mp,python,1,10000,612,11.003,401336,0,3% 6% 4% 39% 3% 5% 5% 62%,11.022
regex_redux_no_mp,python,1,10000,612,11.045,342492,0,56% 43% 9% 7% 9% 12% 8% 8%,11.052
regex_redux_no_mp,python,1,10000,612,11.345,361856,0,9% 16% 64% 9% 8% 8% 33% 9%,11.350
regex_redux_no_mp,python,1,10000,612,11.007,405812,0,77% 10% 24% 15% 26% 9% 9% 12%,11.012
regex_redux_no_mp,python,1,10000,612,11.001,371016,0,81% 4% 6% 4% 22% 5% 6% 5%,11.006
regex_redux_no_mp,python,1,10000,612,10.995,371656,0,80% 6% 6% 6% 23% 6% 6% 7%,11.000
regex_redux_no_mp,python,1,10000,612,11.173,337176,0,81% 14% 5% 6% 14% 9% 7% 5%,11.179
regex_redux_no_mp,python,1,10000,612,10.905,361384,0,73% 3% 2% 2% 28% 2% 2% 2%,10.908
regex_redux_no_mp,python,1,10000,612,11.546,381956,0,36% 25% 51% 25% 22% 29% 47% 21%,11.555
regex_redux_ref,julia,1,10000,539,3.074,327416,0,73% 19% 38% 18% 40% 14% 15% 17%,2.697
regex_redux_ref,julia,1,10000,539,3.079,328208,0,68% 34% 42% 29% 52% 28% 29% 25%,2.729
regex_redux_ref,julia,1,10000,539,3.065,327856,0,10% 9% 75% 9% 10% 9% 31% 8%,2.644
regex_redux_ref,julia,1,10000,539,3.083,346864,0,10% 44% 10% 24% 25% 16% 13% 64%,2.640
regex_redux_ref,julia,1,10000,539,3.097,327892,0,62% 22% 72% 23% 25% 21% 39% 18%,2.698
regex_redux_ref,julia,1,10000,539,3.066,360512,0,11% 82% 9% 11% 10% 26% 9% 8%,2.636
regex_redux_ref,julia,1,10000,539,3.094,328244,0,6% 9% 66% 14% 4% 12% 14% 24%,2.647
regex_redux_ref,julia,1,10000,539,3.046,328344,0,10% 10% 77% 13% 10% 11% 26% 19%,2.695
regex_redux_ref,julia,1,10000,539,3.217,327988,0,21% 39% 56% 22% 17% 33% 18% 23%,2.779
regex_redux_ref,julia,1,10000,539,3.328,328024,0,51% 50% 53% 49% 33% 39% 21% 37%,2.866
